TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688791824,1664.0,15979.0,2000.0,0.0,0.0,2000.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,15.0,12.8,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688791825,1653.0,15979.0,2000.0,0.0,0.0,2000.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0
1688791826,1866.0,15969.0,2200.0,0.0,0.0,2000.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1688791827,1653.0,15974.0,2200.0,0.0,0.0,2200.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,15.0,12.8,31.0,0.0,0.0,15.5,0.0,-1.0,-1.0
1688791828,1866.0,15965.0,2200.0,0.0,0.0,2200.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,15.0,12.8,31.0,0.0,0.0,7.0,0.0,-1.0,-1.0
1688791829,1641.0,15979.0,2400.0,0.0,0.0,2200.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0
1688791830,1864.0,15965.0,2400.0,0.0,0.0,2400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0
1688791831,1670.0,15969.0,2400.0,0.0,0.0,2400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,1.0,5.0,0.0,15.0,12.8,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1688791832,1655.0,15979.0,2800.0,0.0,0.0,2400.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,1.0,5.0,0.0,15.0,12.8,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1688791833,1661.0,15979.0,2800.0,0.0,0.0,2600.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1688791834,1861.0,15965.0,2800.0,0.0,0.0,2600.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0
1688791835,1670.0,15974.0,2600.0,0.0,0.0,2600.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,6.0,0.0,15.0,12.8,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688791836,1672.0,15979.0,2600.0,0.0,0.0,2800.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,6.0,0.0,15.0,12.8,31.0,0.0,0.0,25.0,0.0,-1.0,-1.0
