TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688874311,1301.0,15917.0,12400.0,290.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1688874312,1506.0,15913.0,12400.0,290.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,7.0,0.0,-1.0,-1.0
1688874313,1327.0,15917.0,12400.0,270.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0
1688874314,1523.0,15913.0,12400.0,270.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688874315,1161.0,15927.0,12400.0,270.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0
1688874316,1408.0,15903.0,12400.0,280.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1688874317,1183.0,15927.0,12400.0,280.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,19.0,1.0,-1.0,-1.0
1688874318,1411.0,15917.0,12400.0,280.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,15.0,1.0,-1.0,-1.0
1688874319,1189.0,15927.0,12400.0,290.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,11.0,1.0,-1.0,-1.0
1688874320,1400.0,15917.0,12400.0,290.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
