TIME,POWER,TEMP,ATLAS_B_TEMP
9.208333333333334,8.2764,29.835,14.0
9.225,8.2764,29.845,14.0
9.275,8.24252,29.875,14.0
9.291666666666666,8.2159,29.89,14.0
9.341666666666667,8.2159,29.93,14.0
9.358333333333334,8.2159,29.945,14.0
9.408333333333333,8.2159,29.985,14.0
9.425,8.213479999999999,30.0,14.0
9.475,8.213479999999999,30.02,14.0
9.491666666666667,8.213479999999999,30.03,14.0
9.541666666666666,8.213479999999999,30.07,14.0
9.558333333333334,8.213479999999999,30.08,14.0
9.608333333333334,8.20622,30.115,14.0
9.625,8.201379999999999,30.13,14.0
9.675,8.19654,30.16,14.0
9.691666666666666,8.19412,30.17,14.0
9.741666666666667,8.14088,30.2,14.0
9.758333333333333,8.0828,30.21,14.0
9.808333333333334,8.08038,30.24,14.0
9.825,8.07554,30.25,14.0
9.875,8.07554,30.28,14.0
9.891666666666666,8.116679999999999,30.29,14.0
9.941666666666666,8.099739999999999,30.32,14.0
9.958333333333334,8.099739999999999,30.33,14.0
10.008333333333333,8.099739999999999,30.33,14.0
10.025,8.099739999999999,30.33,14.0
10.075,8.10216,30.33,14.0
10.091666666666667,8.10216,30.33,14.0
10.141666666666666,8.13604,30.33,14.0
10.158333333333333,8.09006,30.33,14.0
10.208333333333334,8.08764,30.33,14.0
10.225,8.09006,30.33,14.0
10.275,8.08764,30.33,14.0
10.291666666666664,8.08764,30.34,14.0
10.341666666666667,8.09006,30.355,14.0
10.358333333333333,8.09006,30.355,14.0
10.408333333333333,8.0949,30.37,14.0
10.425,8.0949,30.38,14.0
10.475,8.09732,30.41,14.0
10.491666666666667,8.12152,30.42,14.0
10.541666666666668,8.116679999999999,30.45,14.0
10.558333333333332,8.14572,30.46,14.0
10.608333333333333,8.1433,30.49,14.0
10.625,8.1796,30.5,14.0
10.675,8.128779999999999,30.53,14.0
10.691666666666668,8.128779999999999,30.54,14.0
10.741666666666667,8.0949,30.57,14.0
10.758333333333333,8.092479999999998,30.58,14.0
10.808333333333332,8.09006,30.61,14.0
10.825,8.08764,30.62,14.0
10.875,8.08764,30.65,14.0
10.891666666666667,8.08764,30.66,14.0
10.941666666666668,8.08764,30.69,14.0
10.958333333333332,8.128779999999999,30.695,14.0
11.008333333333333,8.12636,30.715,14.0
11.025,8.12636,30.72,14.0
11.075,8.12394,30.74,14.0
11.091666666666667,8.12394,30.745,14.0
11.141666666666667,8.12394,30.755,14.0
11.158333333333333,8.12394,30.755,14.0
11.208333333333332,8.12636,30.755,14.0
11.225,8.1312,30.755,14.0
11.275,8.13362,30.77,14.0
11.291666666666668,8.13362,30.77,14.0
