TIME,Main(mA),Main Voltage(V),FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1689538167,987.3444301128092,5.484430000000001,1800457088.0,0.936,57.9,6.0,1.0
1689538168,1018.3636447472088,5.483596938775512,1800404352.0,0.936,56.9,6.0,1.0
1689538169,1028.447875289214,5.481882352941177,1800404352.0,0.936,56.9,6.0,1.0
1689538170,991.5193592331796,5.48402,1800457088.0,0.936,57.4,6.0,1.0
1689538171,1019.5975886403568,5.483099999999999,1800457088.0,0.936,56.4,6.0,1.0
1689538172,1009.01990351682,5.483321428571427,1800404352.0,0.936,56.9,6.0,1.0
1689538173,999.761398610882,5.480931372549019,1800430720.0,0.936,57.6,6.0,1.0
1689538174,1016.8451763058004,5.482510204081633,1800457088.0,0.936,58.4,7.0,1.0
1689538175,997.9174985396318,5.483830000000001,1800404352.0,0.936,56.9,7.0,1.0
1689538176,984.88266991154,5.4840300000000015,1800457088.0,0.936,57.4,7.0,1.0
1689538177,1032.1697222152936,5.482239999999999,1800404352.0,0.936,57.9,7.0,1.0
1689538178,1011.4202866919052,5.48278,1800457088.0,0.936,57.4,7.0,1.0
1689538179,1006.6575998691872,5.48415,1800457088.0,0.936,56.4,7.0,1.0
1689538180,1008.1357016097476,5.483153061224492,1800457088.0,0.936,57.4,7.0,1.0
1689538181,998.8972216717348,5.483049019607844,1800457088.0,0.936,57.4,7.0,1.0
1689538182,1025.3238410408476,5.482405,1800457088.0,0.936,57.9,7.0,1.0
1689538183,1057.9452932273068,5.481091836734693,1800457088.0,0.936,56.4,7.0,1.0
1689538184,1042.8653627523352,5.4811250000000005,1800457088.0,0.936,58.4,7.0,1.0
1689538185,990.1755754556696,5.48379411764706,1800404352.0,0.936,57.9,7.0,1.0
1689538186,1016.6158104884688,5.483465,1800457088.0,0.936,57.9,7.0,1.0
1689538187,1008.5847951025172,5.48241836734694,1800457088.0,0.936,57.4,7.0,1.0
1689538188,1000.344431905971,5.483715,1800457088.0,0.936,57.4,7.0,1.0
1689538189,1012.0231335568844,5.482509803921569,1800457088.0,0.936,58.4,7.0,1.0
1689538190,1005.400259056817,5.48320918367347,1800457088.0,0.936,58.4,7.0,1.0
1689538191,997.54484135031,5.484845000000003,1800457088.0,0.936,57.6,7.0,1.0
1689538192,1032.3598399483394,5.482570000000002,1800457088.0,0.936,56.9,7.0,1.0
1689538193,997.6535184087768,5.483583333333334,1800457088.0,0.936,57.4,7.0,1.0
1689538194,1016.1020944902097,5.4810663265306125,1800457088.0,0.936,57.9,0.0,-1.0
1689538195,1045.179245705929,5.482109999999998,1800457088.0,0.936,57.9,8.0,1.0
1689538196,980.9296896510662,5.485249999999999,1800457088.0,0.936,56.9,8.0,1.0
1689538197,1011.7241238338576,5.483540816326532,1800457088.0,0.936,58.4,8.0,1.0
1689538198,1006.7245950886336,5.483181372549018,1800457088.0,0.936,58.4,8.0,1.0
1689538199,1011.890192132456,5.4827850000000025,1800404352.0,0.936,57.4,8.0,1.0
1689538200,1018.4042977940186,5.48186224489796,1800404352.0,0.936,58.4,8.0,1.0
1689538201,1030.4727824198972,5.48111,1800404352.0,0.936,57.9,8.0,1.0
1689538202,1026.2411209371576,5.481352941176471,1800457088.0,0.936,58.9,8.0,1.0
1689538203,1029.6366001249785,5.482321428571428,1800457088.0,0.936,57.9,8.0,1.0
1689538204,1021.0847776562448,5.483015,1800457088.0,0.936,58.4,8.0,1.0
1689538205,1017.875244343402,5.481239999999999,1800457088.0,0.936,57.9,8.0,1.0
1689538206,1015.017492656016,5.483285,1800457088.0,0.936,58.4,8.0,1.0
1689538207,996.3448167083196,5.484335000000002,1800457088.0,0.936,59.4,8.0,1.0
1689538208,1014.7151333842407,5.484270000000002,1800457088.0,0.936,58.9,8.0,1.0
1689538209,1016.329838324328,5.480729999999999,1800457088.0,0.936,59.4,8.0,1.0
1689538210,1020.504234611548,5.483178571428573,1800404352.0,0.936,58.4,8.0,1.0
1689538211,1010.2241288223892,5.482450980392155,1800404352.0,0.936,58.6,8.0,1.0
1689538212,995.4762601091788,5.4841050000000005,1800404352.0,0.936,58.9,8.0,1.0
1689538213,1016.016252491562,5.483061224489795,1800457088.0,0.936,58.9,8.0,1.0
1689538214,940.8850780107192,5.48389,1800457088.0,0.936,58.9,8.0,1.0
1689538215,1032.5547884639614,5.482627450980391,1800457088.0,0.936,57.9,9.0,1.0
1689538216,984.545024519001,5.483270408163265,1800457088.0,0.936,59.4,9.0,1.0
1689538217,993.4832202803487,5.484069999999999,1800457088.0,0.936,59.9,9.0,1.0
1689538218,1076.9858701362948,5.482073529411764,1800457088.0,0.936,59.4,9.0,1.0
1689538219,1054.2276009167017,5.484948979591836,1800404352.0,0.936,59.4,9.0,1.0
1689538220,1048.8425286535,5.484530000000001,1800404352.0,0.936,59.9,9.0,1.0
1689538221,1016.0943628134625,5.482545918367349,1800457088.0,0.936,58.4,9.0,1.0
1689538222,1017.7644985316912,5.482995098039216,1800404352.0,0.936,59.4,9.0,1.0
1689538223,1015.7587619044658,5.483454999999999,1800457088.0,0.936,59.4,9.0,1.0
1689538224,1026.4788711475308,5.483071428571429,1800457088.0,0.936,59.9,9.0,1.0
1689538225,1012.6845482870808,5.4819900000000015,1800457088.0,0.936,59.9,9.0,1.0
1689538226,1032.468734096493,5.482142156862746,1800457088.0,0.936,58.9,9.0,1.0
1689538227,1015.592979536449,5.483605,1800457088.0,0.936,59.4,9.0,1.0
1689538228,1050.9520749926628,5.482096938775513,1800457088.0,0.936,59.4,9.0,1.0
1689538229,1068.3561473521445,5.48091,1800457088.0,0.936,58.4,9.0,1.0
1689538230,1015.9498541332412,5.482181372549019,1800457088.0,0.936,59.9,9.0,1.0
1689538231,1036.5819882793096,5.482688775510204,1800457088.0,0.936,59.9,9.0,1.0
1689538232,998.7289577238292,5.483005000000002,1800430720.0,0.936,60.1,9.0,1.0
1689538233,1001.3155498843556,5.484750000000002,1800404352.0,0.936,60.3,9.0,1.0
1689538234,965.170872007903,5.4834900000000015,1800457088.0,0.936,58.9,9.0,1.0
1689538235,1055.374382711923,5.481565000000001,1800404352.0,0.936,59.9,0.0,-1.0
1689538236,1035.7684365723003,5.481660000000001,1800457088.0,0.936,58.9,10.0,1.0
1689538237,996.1721085830568,5.484112244897957,1800404352.0,0.936,59.9,10.0,1.0
1689538238,1022.1062578625524,5.483950980392158,1800457088.0,0.936,58.4,10.0,1.0
1689538239,991.4951904541266,5.483829999999999,1800457088.0,0.936,59.4,10.0,1.0
1689538240,1023.651315939206,5.4835510204081634,1800457088.0,0.936,59.4,10.0,1.0
1689538241,1004.1001954749736,5.4823,1800457088.0,0.936,59.4,10.0,1.0
1689538242,1018.3465409081126,5.482916666666667,1800457088.0,0.936,59.4,10.0,1.0
1689538243,1009.967390043726,5.483607142857144,1800457088.0,0.936,59.4,10.0,1.0
1689538244,1008.6076426441416,5.483315,1800457088.0,0.936,60.3,10.0,1.0
1689538245,1030.1065284192225,5.4819650000000015,1800457088.0,0.936,59.4,10.0,1.0
1689538246,982.5928421951924,5.485553921568628,1800457088.0,0.936,59.9,10.0,1.0
1689538247,999.3373051670428,5.484173469387754,1800404352.0,0.936,60.3,10.0,1.0
1689538248,1040.7671589718218,5.482254999999999,1800404352.0,0.936,59.4,10.0,1.0
1689538249,1016.0518449242873,5.483654999999999,1800457088.0,0.936,59.9,10.0,1.0
1689538250,1010.7530492361976,5.483770408163265,1800404352.0,0.936,58.9,10.0,1.0
1689538251,1039.3625728035418,5.482725490196077,1800457088.0,0.936,59.4,10.0,1.0
