TIME,I_Atlas200DK-B,Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1692237083,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237084,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237085,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237086,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237087,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237088,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237089,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237090,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237091,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237092,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237093,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237094,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237095,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237096,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237097,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237098,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237099,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237100,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237101,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237102,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237103,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237104,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237105,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237106,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237107,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237108,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237109,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237110,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237111,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237112,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237113,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237114,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237115,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237116,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237117,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237118,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
