TIME,I_Atlas200DK-B,Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS,dog_1_top1_index,dog_1_top1_value,dog_1_top2_index,dog_1_top2_value,dog_1_top3_index,dog_1_top3_value,dog_1_top4_index,dog_1_top4_value,dog_1_top5_index,dog_1_top5_value,dog_2_top1_index,dog_2_top1_value,dog_2_top2_index,dog_2_top2_value,dog_2_top3_index,dog_2_top3_value,dog_2_top4_index,dog_2_top4_value,dog_2_top5_index,dog_2_top5_value
1692260200,-1.0,-1.0,38.0,4.0,32.0,0.0,0.0,13.9,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1692260201,-1.0,-1.0,38.0,4.0,32.0,0.0,0.0,13.9,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1692260202,-1.0,-1.0,38.0,4.0,32.0,0.0,0.0,13.9,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1692260203,-1.0,-1.0,38.0,4.0,32.0,0.0,0.0,13.9,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1692260204,-1.0,-1.0,38.0,4.0,32.0,0.0,0.0,13.9,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1692260205,-1.0,-1.0,38.0,4.0,32.0,0.0,0.0,13.9,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1692260206,-1.0,-1.0,38.0,4.0,32.0,0.0,0.0,13.9,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1692260207,-1.0,-1.0,38.0,4.0,32.0,0.0,0.0,13.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1692260208,-1.0,-1.0,38.0,4.0,32.0,0.0,0.0,13.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1692260209,-1.0,-1.0,38.0,4.0,32.0,0.0,0.0,13.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
