TIME,Main(mA),Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688625400,684.4393827,11.96091837,39,4,37,1,0,41,2,49,1
1688625401,680.7413965,11.96195098,39,4,36,1,0,48,0,49,1
1688625402,677.3126207,11.96090816,39,4,36,1,1,38,1,50,1
1688625403,696.9008639,11.96178,39,4,39,1,0,50,2,50,1
1688625404,699.0609552,11.962185,39,4,37.5,1,0,44.5,1.5,50,1
1688625405,667.3776843,11.96117157,39,4,36,1,0,39,1,51,1
1688625406,689.1094134,11.96086224,39,4,36,1,0,31,0,51,1
1688625407,689.86151,11.960885,39,4,39,1,0,49,1,51,1
1688625408,672.4217478,11.96140306,39,4,36,1,1,40,2,52,1
1688625409,680.6844334,11.96203,39,4,38,1,0,44,1,52,1
1688625410,686.8569835,11.96087755,39,4,37,1,0.5,45,0.5,52,1
1688625411,676.3441449,11.96151471,39,4,36,1,1,46,0,53,1
1688625412,685.5881666,11.960815,39,4,36,1,0,43,1,53,1
1688625413,687.3520938,11.961,39,4,39,1,0,46,3,53,1
1688625414,672.1556417,11.96133163,39,4,36,1,1,41,2,54,1
1688625415,681.9923701,11.961585,39,4,37,1,0,44,0,54,1
1688625416,699.5029298,11.96084314,39,4,36.5,1,0.5,45,2,54,1
1688625417,677.2157147,11.961145,39,4,36,1,1,46,4,55,1
1688625418,681.2503656,11.96094898,40,4,36,1,0,41,0,55,1
1688625419,679.5996288,11.962165,39,4,39,1,0,46,4,55,1
1688625420,675.0271029,11.96172059,40,4,36,1,1,42,2,56,1
1688625421,685.6200026,11.9610102,39,4,37,1,0,43,0,56,1
1688625422,687.4508562,11.961265,39,4,36.5,1,0.5,43.5,1.5,56,1
1688625423,682.0680004,11.961655,39,4,36,1,1,44,3,57,1
1688625424,680.9180778,11.96141327,39,4,36,1,1,41,0,57,1
1688625425,686.0391739,11.961005,40,4,39,1,0,43,3,57,1
1688625426,679.5756024,11.96120588,40,4,37.5,1,0,40.5,1.5,-1,-1
1688625427,682.4248364,11.96067347,40,4,36,1,0,38,0,58,1
1688625428,697.0283575,11.961795,40,4,39,1,0,45,1,58,1
1688625429,673.4077582,11.96163,40,4,38.8,0.8,0,43.4,1.2,58,1
1688625430,666.4388361,11.96106633,40,4,38.6,0.6,0,41.8,1.4,58,1
1688625431,688.1885489,11.96091176,40,4,38.4,0.4,0,40.2,1.6,58,1
1688625432,686.11018,11.96054,40,4,38.2,0.2,0,38.6,1.8,59,1
1688625433,694.963864,11.96055612,40,4,38,0,0,37,2,59,1
1688625434,680.1757212,11.961805,40,4,36,0,0,46,0,59,1
1688625435,673.8452354,11.96174,40,4,36,1,2,31,1,60,1
1688625436,683.0870593,11.96138725,40,4,37,1,1,37.5,1.5,60,1
1688625437,684.6542139,11.96120918,40,4,38,1,0,44,2,60,1
1688625438,672.8381191,11.960385,40,4,36,1,1,45,3,61,1
1688625439,685.8397349,11.96051,40,4,36,1,0,40,0,61,1
1688625440,688.5173623,11.96086,40,4,39,1,0,48,1,61,1
1688625441,675.5874992,11.961195,40,4,36,1,1,41,1,-1,-1
1688625442,680.1247083,11.96057143,40,4,37,1,0,44,2,62,1
1688625443,698.4141736,11.95999,40,4,36.5,1,0,43,1,62,1
1688625444,678.5497954,11.9619951,40,4,36,1,0,42,0,62,1
1688625445,677.6786537,11.96145408,40,4,36,1,0,39,0,63,1
1688625446,684.4521832,11.9616,40,4,39,1,0,47,3,63,1
1688625447,690.1178678,11.960885,40,4,36,1,0,41,0,63,1
1688625448,675.1552245,11.96101531,40,4,36.5,1,0,43.5,0,64,1
1688625449,691.6033307,11.96128922,40,4,37,1,0,46,0,64,1
1688625450,679.8843997,11.96112245,40,4,36,1,0,41,3,64,1
1688625451,676.1222164,11.96062,40,4,36,1,0,37,0,65,1
1688625452,687.7783189,11.961885,40,4,38,1,0,48,3,65,1
1688625453,697.6372056,11.96055392,40,4,36,1,1,39,3,65,1
1688625454,673.4007062,11.96141837,40,4,36,1,0.5,42.5,1.5,66,1
1688625455,688.9788661,11.961575,40,4,36,1,0,46,0,66,1
1688625456,680.462493,11.96060714,40,4,39,1,0,40,0,66,1
1688625457,672.0244123,11.960705,40,4,36,0,1,33,1,67,1
1688625458,687.5578775,11.96103431,40,4,37,0,0,50,1,67,1
1688625459,691.8491878,11.96162,40,4,36,0,0,38,0,67,1
1688625460,670.7353787,11.96147449,40,4,36,0.5,1,42.5,0,68,1
1688625461,693.3802758,11.960845,40,4,36,1,2,47,0,68,1
1688625462,684.1819033,11.96113776,40,4,39,1,0,39,5,68,1
1688625463,672.4043138,11.96143627,40,4,36,1,0,50,1,69,1
1688625464,686.0067123,11.961015,40,4,36,1,0,48,0,69,1
1688625465,692.2301932,11.96057143,40,4,39,1,1,39,3,69,1
1688625466,672.5663682,11.96102,40,4,36,1,1,49,2,70,1
1688625467,686.5515806,11.96068627,40,4,37,1,0,35,3,70,1
1688625468,685.2995913,11.96105612,40.5,4,36.5,1,0,44.5,1.5,70,1
1688625469,679.0111201,11.961255,41,4,36,1,0,54,0,71,1
1688625470,678.637694,11.96114706,40,4,36,1,0,53,0,71,1
1688625471,698.0396469,11.96057653,40,4,39,1,0,37,1,71,1
1688625472,674.9395047,11.96103,41,4,36,1,1,50,1,72,1
1688625473,682.3364491,11.96134,41,4,36.5,1,0.5,41.5,1,72,1
1688625474,691.1255958,11.9606,41,4,37,1,0,33,1,72,1
1688625475,678.6752383,11.96108163,41,4,36,1,0,53,1,72,1
1688625476,677.2474485,11.96092,41,4,36,1,1,36,1,73,1
1688625477,683.6578064,11.96129412,40,4,38,1,0,37,2,73,1
1688625478,688.8109171,11.96084184,41,4,36,1,1,50,0,73,1
1688625479,679.9355251,11.960925,41,4,36,1,0,31,0,74,1
1688625480,684.4988697,11.961245,41,4,37.5,1,0,43.5,1.5,74,1
1688625481,685.0575427,11.9615,41,4,39,1,0,56,3,74,1
1688625482,672.6836553,11.96054902,41,4,36,1,1,32,2,75,1
1688625483,692.5574024,11.96108,41,4,37,1,0,53,2,75,1
1688625484,675.0514,11.96090816,41,4,36,1,0,53,1,75,1
1688625485,682.8338537,11.96141,41,4,36,1,0,29,0,76,1
1688625486,685.7946474,11.961015,41,4,37.5,1,0,43,0.5,76,1
1688625487,680.9599743,11.96156633,41,4,39,1,0,57,1,76,1
1688625488,671.4102616,11.96139216,41,4,36,1,1,33,2,77,1
1688625489,690.1897535,11.96065,41,4,37,1,0,51,1,77,1
1688625490,683.2727165,11.96121429,41,4,36,1,0,52,1,77,1
1688625491,673.9493428,11.9613,41,4,36,1,0,34,0,78,1
1688625492,687.856455,11.96138,41,4,37.5,1,0,43.5,1,78,1
1688625493,690.8823529,11.96117347,41,4,39,1,0,53,2,78,1
1688625494,668.5053979,11.96168,41,4,36,1,1,35,2,79,1
1688625495,697.2120419,11.96046078,41,4,37,1,0,49,0,79,1
1688625496,678.2535213,11.961415,41,4,36,1,0,52,3,79,1
1688625497,672.9787237,11.96086224,41,4,36,1,1,34,0,80,1
1688625498,687.6174547,11.96138,41,4,38,1,0,52,4,80,1
1688625499,686.5159519,11.962325,41,4,36,1,0,37,1,80,1
1688625500,672.4362779,11.96052451,41,4,36,1,0.5,42,0.5,81,1
1688625501,689.3421006,11.96188265,41,4,36,1,1,47,0,81,1
1688625502,676.3547578,11.961575,41,4,39,1,0,39,3,81,1
1688625503,677.4245523,11.96203,41,4,36,1,2,34,2,82,1
1688625504,681.788275,11.96154082,41,4,38,1,0,52,2,82,1
1688625505,700.5077304,11.96048,41,4,36,1,0,38,1,82,1
1688625506,669.4130452,11.9612598,41,4,36,1,0.5,42,0.5,83,1
1688625507,688.778476,11.960655,41,4,36,1,1,46,0,83,1
1688625508,682.9200557,11.96130102,42,4,38,1,0,39,3,83,1
1688625509,678.9899314,11.961095,41,4,36,1,0,50,2,84,1
1688625510,681.3047815,11.96087255,41,4,36,1,1,37,0,84,1
1688625511,686.6549019,11.9619949,41,4,39,1,0,40,3,84,1
1688625512,670.2752574,11.961605,41,4,36,1,1,47,3,85,1
1688625513,691.6409619,11.961865,41,4,36,1,0.5,42.5,1.5,85,1
